Source File Name:	FFT_FRF_withPorousend_PeriodicChirp_0.1V_5avg
Signal:	FFT - Vib Geschwindigkeit - Amplitude

Frequenz	Amplitude
[ Hz ]	[ m/s ]
227.5	1.170894e-07
228.125	1.198046e-07
228.75	1.290912e-07
229.375	1.50308e-07
230	1.189927e-07
230.625	1.448679e-07
231.25	1.310743e-07
231.875	1.384259e-07
232.5	1.125604e-07
233.125	1.437009e-07
233.75	1.416059e-07
234.375	1.42582e-07
235	1.212716e-07
235.625	1.403696e-07
236.25	1.257407e-07
236.875	1.380985e-07
237.5	1.179315e-07
238.125	1.265806e-07
238.75	1.042302e-07
239.375	1.013791e-07
240	1.079808e-07
240.625	1.02017e-07
241.25	7.458671e-08
241.875	7.949485e-08
242.5	8.931428e-08
243.125	9.154535e-08
243.75	9.327805e-08
244.375	1.092628e-07
245	1.161753e-07
245.625	1.041401e-07
246.25	9.979008e-08
246.875	9.35902e-08
247.5	1.208771e-07
248.125	9.734337e-08
248.75	9.756086e-08
249.375	8.488801e-08
250	7.967147e-08
250.625	7.404336e-08
251.25	7.444888e-08
251.875	4.843641e-08
252.5	5.947981e-08
253.125	6.300284e-08
253.75	9.214297e-08
254.375	6.802849e-08
255	6.363981e-08
255.625	5.686792e-08
256.25	3.985522e-08
256.875	4.837014e-08
257.5	5.070359e-08
258.125	1.781622e-08
258.75	5.243796e-08
259.375	6.780029e-08
260	4.720515e-08
260.625	4.430338e-08
261.25	6.730914e-08
261.875	3.355865e-08
262.5	6.397583e-08
263.125	6.005859e-08
263.75	4.324799e-08
264.375	5.902412e-08
265	2.675883e-08
265.625	5.79184e-08
266.25	7.35535e-08
266.875	5.655739e-08
267.5	5.315347e-08
268.125	8.553752e-08
268.75	9.70231e-08
269.375	7.284208e-08
270	9.096955e-08
270.625	8.134884e-08
271.25	8.939786e-08
271.875	1.112988e-07
272.5	1.046131e-07
273.125	1.336791e-07
273.75	1.587813e-07
274.375	1.429443e-07
275	1.411089e-07
275.625	1.677641e-07
276.25	1.543853e-07
276.875	1.71503e-07
277.5	1.565579e-07
278.125	2.182501e-07
278.75	1.814838e-07
279.375	1.64978e-07
280	2.084063e-07
280.625	1.986485e-07
281.25	1.950683e-07
281.875	1.897795e-07
282.5	2.064667e-07
283.125	2.005082e-07
283.75	1.824575e-07
284.375	1.438483e-07
285	1.735788e-07
285.625	1.425326e-07
286.25	1.572876e-07
286.875	1.68192e-07
287.5	1.768356e-07
288.125	1.016952e-07
288.75	1.41332e-07
289.375	1.289337e-07
290	1.224293e-07
290.625	1.791241e-07
291.25	1.411472e-07
291.875	1.294921e-07
292.5	1.34257e-07
293.125	1.459343e-07
293.75	1.355941e-07
294.375	1.836544e-07
295	1.746227e-07
295.625	1.700609e-07
296.25	2.148995e-07
296.875	1.649221e-07
297.5	2.0796e-07
298.125	1.743919e-07
298.75	1.752554e-07
299.375	1.357889e-07
300	1.333289e-07
300.625	1.873197e-07
301.25	1.210384e-07
301.875	1.539094e-07
302.5	1.448304e-07
303.125	1.97133e-07
303.75	1.373932e-07
304.375	2.070543e-07
305	2.223191e-07
305.625	1.833983e-07
306.25	1.949152e-07
306.875	2.477834e-07
307.5	2.604173e-07
308.125	2.325935e-07
308.75	2.274943e-07
309.375	2.385192e-07
310	3.100329e-07
310.625	2.952908e-07
311.25	3.419856e-07
311.875	3.468526e-07
312.5	3.850862e-07
313.125	4.253953e-07
313.75	3.620558e-07
314.375	4.030742e-07
315	4.082139e-07
315.625	4.039322e-07
316.25	3.93534e-07
316.875	4.190391e-07
317.5	4.309489e-07
318.125	3.316696e-07
318.75	3.802269e-07
319.375	3.868109e-07
320	3.004753e-07
320.625	3.579102e-07
321.25	3.148658e-07
321.875	3.379733e-07
322.5	3.254891e-07
323.125	3.715373e-07
323.75	2.938432e-07
324.375	2.755198e-07
325	3.689302e-07
325.625	2.309705e-07
326.25	3.022046e-07
326.875	2.150562e-07
327.5	2.560272e-07
328.125	1.738975e-07
328.75	1.567292e-07
329.375	2.483806e-07
330	1.90627e-07
330.625	1.855648e-07
331.25	1.422498e-07
331.875	1.746057e-07
332.5	1.269751e-07
333.125	1.614459e-07
333.75	2.546182e-07
334.375	1.320992e-07
335	1.598446e-07
335.625	2.469409e-07
336.25	2.899864e-07
336.875	2.450097e-07
337.5	1.781783e-07
338.125	2.393386e-07
338.75	3.122398e-07
339.375	1.403341e-07
340	2.330733e-07
340.625	2.168434e-07
341.25	2.165495e-07
341.875	2.564347e-07
342.5	1.144204e-07
343.125	2.139413e-07
343.75	2.995412e-07
344.375	2.075712e-07
345	1.87882e-07
345.625	1.972674e-07
346.25	2.233234e-07
346.875	2.434832e-07
347.5	2.790773e-07
348.125	2.542826e-07
348.75	2.30183e-07
349.375	3.26634e-07
350	2.712038e-07
350.625	2.435196e-07
351.25	2.607199e-07
351.875	2.0541e-07
352.5	2.638658e-07
353.125	3.229716e-07
353.75	3.034345e-07
354.375	2.060549e-07
355	2.769455e-07
355.625	4.011644e-07
356.25	2.399208e-07
356.875	2.263661e-07
357.5	3.441113e-07
358.125	3.22362e-07
358.75	2.589263e-07
359.375	3.579513e-07
360	4.526754e-07
360.625	3.088802e-07
361.25	4.021125e-07
361.875	3.656725e-07
362.5	3.205953e-07
363.125	4.262748e-07
363.75	4.034536e-07
364.375	5.146109e-07
365	4.880651e-07
365.625	5.27601e-07
366.25	4.485018e-07
366.875	4.932194e-07
367.5	4.650391e-07
368.125	5.375598e-07
368.75	5.71336e-07
369.375	5.080847e-07
370	5.338211e-07
370.625	5.378669e-07
371.25	5.885607e-07
371.875	5.591812e-07
372.5	6.049921e-07
373.125	6.107777e-07
373.75	5.285764e-07
374.375	5.025026e-07
375	5.042269e-07
375.625	4.829856e-07
376.25	6.298227e-07
376.875	4.808658e-07
377.5	5.558652e-07
378.125	4.783894e-07
378.75	4.86525e-07
379.375	4.622211e-07
380	5.456194e-07
380.625	5.786789e-07
381.25	6.209459e-07
381.875	6.199232e-07
382.5	6.399854e-07
383.125	6.730448e-07
383.75	6.812776e-07
384.375	7.348115e-07
385	7.295022e-07
385.625	8.230033e-07
386.25	8.561844e-07
386.875	8.425992e-07
387.5	9.4515e-07
388.125	9.353411e-07
388.75	1.024335e-06
389.375	1.035565e-06
390	1.066996e-06
390.625	1.092306e-06
391.25	1.103755e-06
391.875	1.037871e-06
392.5	1.03361e-06
393.125	9.946957e-07
393.75	9.713904e-07
394.375	9.304112e-07
395	9.169108e-07
395.625	9.037406e-07
396.25	7.517515e-07
396.875	7.263729e-07
397.5	6.665146e-07
398.125	6.402871e-07
398.75	6.75113e-07
399.375	6.479054e-07
400	5.976548e-07
400.625	5.736986e-07
401.25	5.682062e-07
401.875	5.663976e-07
402.5	5.252546e-07
403.125	4.502211e-07
403.75	4.352696e-07
404.375	3.636315e-07
405	4.220201e-07
405.625	4.226095e-07
406.25	3.901576e-07
406.875	3.200139e-07
407.5	3.281929e-07
408.125	2.536041e-07
408.75	3.454295e-07
409.375	2.438846e-07
410	2.11586e-07
410.625	2.451098e-07
411.25	1.741927e-07
411.875	2.1228e-07
412.5	2.283049e-07
413.125	2.134607e-07
413.75	2.570143e-07
414.375	2.517659e-07
415	2.146946e-07
415.625	1.829247e-07
416.25	2.274905e-07
416.875	3.353632e-07
417.5	2.56241e-07
418.125	2.260625e-07
418.75	2.111838e-07
419.375	2.375029e-07
420	2.167746e-07
420.625	2.221095e-07
421.25	1.671076e-07
421.875	1.551955e-07
422.5	1.483745e-07
423.125	1.588586e-07
423.75	1.386507e-07
424.375	1.942493e-07
425	1.734116e-07
425.625	2.103856e-07
426.25	1.699184e-07
426.875	1.983148e-07
427.5	1.933755e-07
428.125	1.781947e-07
428.75	1.694231e-07
429.375	1.621821e-07
430	1.935341e-07
430.625	2.330468e-07
431.25	1.846079e-07
431.875	2.213408e-07
432.5	1.965142e-07
433.125	1.72988e-07
433.75	1.560405e-07
434.375	1.363849e-07
435	1.82748e-07
435.625	1.341011e-07
436.25	1.733589e-07
436.875	1.281585e-07
437.5	8.290169e-08
438.125	1.35328e-07
438.75	1.091393e-07
439.375	1.234193e-07
440	8.098193e-08
440.625	6.767753e-08
441.25	7.473981e-08
441.875	4.265583e-08
442.5	1.549134e-08
443.125	5.819413e-08
443.75	9.821417e-08
444.375	5.513349e-08
445	4.452163e-08
445.625	8.449258e-08
446.25	5.100299e-08
446.875	3.127667e-08
447.5	6.492258e-08
448.125	3.897184e-08
448.75	4.975998e-08
449.375	1.235508e-08
450	6.191604e-08
450.625	4.415807e-08
451.25	1.183201e-07
451.875	6.024455e-08
452.5	1.297414e-08
453.125	7.325845e-08
453.75	7.93569e-08
454.375	7.499989e-08
455	5.479543e-08
455.625	3.363931e-08
456.25	4.949506e-08
456.875	6.54922e-08
457.5	9.976588e-08
458.125	5.823862e-08
458.75	7.44542e-08
459.375	7.339509e-08
