% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 13 2025, 11:09
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(acpr2.p_t)
0                         1.1682311210197538
3.104926207917469E-4      1.1969986586168082
5.721957384485776E-4      1.2214475280196802
6.209852415837158E-4      1.225978980964968
6.788706073799222E-4      1.2313998586243036
9.314778623756848E-4      1.2549299449267042
0.0011443914768973773     1.274926743256945
0.0012397033317230743     1.283864938108011
0.001398900397074243      1.2987711186613178
0.0015823002580578338     1.315937981131359
0.0017365461451835928     1.3302225991438983
0.0019121346814074958     1.346509832266924
0.002120911159884775      1.3656679721565326
0.0022419691047569357     1.3768239114626637
0.0023437831955653854     1.3861052476170554
0.0025718035281065976     1.4069253742564802
0.002842948693114522      1.4311596269270717
0.0028844728272650055     1.4348664457237303
0.0029913195391630953     1.4441946929271767
0.0031971421264233024     1.462241167923253
0.0032771315296790116     1.4690975149989502
0.003539441640248109      1.4915448306606758
0.003651259221345793      1.500904438088841
0.0038919272648249015     1.520958155420281
0.0040612456815014575     1.534717787666958
0.004196791385315923      1.5457148467263675
0.004440173605210207      1.5649128391314133
0.004501655505806945      1.56979034726886
0.004535896328706213      1.572429653622645
0.004806519626298078      1.5932534683337534
0.005010546975910746      1.6084934698156912
0.005085370015019963      1.6141069430477566
0.005203370552677944      1.6226572775630974
0.005429277037210745      1.6391423413763362
0.00557188227063854       1.6491245948525715
0.005762857966243207      1.6626151679655143
0.006065389977083613      1.6830864547771611
0.006096438895275669      1.6852085698224282
0.006116038767477683      1.686489886467957
0.006430019824308131      1.7072172761128321
0.006627669910681977      1.719746763164174
0.006699762335997228      1.7243798049940808
0.0067982146239056185     1.7304749986364092
0.006969504847686436      1.7412213011367697
0.0070949333971647155     1.7487949548504638
0.00729556581530133       1.7609116553729847
0.007466544142547438      1.7709956006155014
0.007670575215399267      1.782886746732832
0.0077822498343610436     1.7892805853150864
0.007949405114287433      1.7987357389794745
0.00802989018217859       1.8032364780846968
