% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 13 2025, 11:08
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(acpr2.p_t)
0                         -0.7321171796324406
3.104926207917469E-4      -0.7501454688224607
5.721957384485776E-4      -0.7654672976886596
6.209852415837158E-4      -0.7683071078000743
6.788706073799222E-4      -0.7717043102813959
9.314778623756848E-4      -0.786450348210247
0.0011443914768973773     -0.7989821146833361
0.0012397033317230743     -0.8045835799136541
0.001398900397074243      -0.8139251140240047
0.0015823002580578338     -0.824683391824149
0.0017365461451835928     -0.8336353997473229
0.0019121346814074958     -0.8438424238228646
0.002120911159884775      -0.8558486125732041
0.0022419691047569357     -0.862839913073593
0.0023437831955653854     -0.8686564210627334
0.0025718035281065976     -0.8817041580392491
0.002842948693114522      -0.8968914890360522
0.0028844728272650055     -0.899214510289286
0.0029913195391630953     -0.9050604169002485
0.0031971421264233024     -0.9163699378834782
0.0032771315296790116     -0.9206667327499419
0.003539441640248109      -0.9347342106118879
0.003651259221345793      -0.9405997703196225
0.0038919272648249015     -0.953167207284514
0.0040612456815014575     -0.9617902125888267
0.004196791385315923      -0.9686819446424966
0.004440173605210207      -0.9807131085117815
0.004501655505806945      -0.9837697874830665
0.004535896328706213      -0.9854238108087184
0.004806519626298078      -0.9984738590578847
0.005010546975910746      -1.0080245949540585
0.005085370015019963      -1.01154249489411
0.005203370552677944      -1.016900892455734
0.005429277037210745      -1.0272318947786938
0.00557188227063854       -1.0334876596953295
0.005762857966243207      -1.041942048695386
0.006065389977083613      -1.0547711717125052
0.006096438895275669      -1.0561010771172168
0.006116038767477683      -1.0569040637111038
0.006430019824308131      -1.0698936834660566
0.006627669910681977      -1.0777457707433262
0.006699762335997228      -1.0806492454553074
0.0067982146239056185     -1.0844690341070935
0.006969504847686436      -1.0912036198722577
0.0070949333971647155     -1.0959499426645682
0.00729556581530133       -1.1035433413109383
0.007466544142547438      -1.109862835302911
0.007670575215399267      -1.1173148815644576
0.0077822498343610436     -1.121321827609328
0.007949405114287433      -1.127247265058487
0.00802989018217859       -1.1300678271550528
0.008228235013175378      -1.136933076438496
0.008277530529996246      -1.1386194038119395
0.008480442100639918      -1.1454319467762364
0.008620840981557798      -1.1501707349006245
0.008680760661883724      -1.1521444604726574
0.00896415143311935       -1.1614169586479406
0.009170589749318059      -1.1680037923987645
0.009284378590138753      -1.1716318495265492
0.00937248505506183       -1.1743520820641964
0.009569790213339147      -1.1805270844777407
0.009747505007917212      -1.1859153417798685
0.009978644970604522      -1.192874671747202
0.01020362945299147       -1.199504344561893
0.010387499727869787      -1.204883705265055
0.010659753898065949      -1.2126742040483025
0.010796354485135162      -1.2165541850313002
0.011115878343140095      -1.2254249202390977
0.01123468745718681       -1.2286989392891516
0.01144568530538781       -1.2343909762976204
0.011589316129378968      -1.2382825602662257
0.011683091634171583      -1.24076120181234
0.011998556349543166      -1.249112741026301
0.01235952177333055       -1.2584296440661757
0.012407796569707252      -1.2596777011599674
0.012481736441285918      -1.261540282258275
0.012817036789871561      -1.2699888949669775
0.013091491090926222      -1.276773815234437
0.013157691325100807      -1.2784104600518396
0.013497268288052866      -1.2866803195697454
0.013498345860330052      -1.2867065633766697
0.013503982606012044      -1.2868417626446818
0.013839000395559298      -1.2948827911086653
0.013903045485179621      -1.2963963411045865
0.014215557422163738      -1.3037842765895933
0.014401703230917828      -1.3081241085133957
0.014520947339183521      -1.3108926209622753
0.014807211436274503      -1.3174956789412238
0.014826337256203193      -1.3179349865276597
0.014884676573204803      -1.3192662009305993
0.015148754940828346      -1.3252863355746685
0.015233554320387532      -1.3271973022259118
0.01547519361683003       -1.332642684655815
0.015792819983102557      -1.3397462580066342
0.015836206812036124      -1.3407144165739544
0.01590259332011934       -1.342187406559594
0.01618257730135797       -1.3483815162720423
0.01636556052263094       -1.352406525999639
0.016528947790679704      -1.3559913047961611
0.016778947858848703      -1.3614447812118449
0.01687531828000144       -1.363540731211223
0.01696705537897014       -1.3655333729372834
0.01716169461567074       -1.3697470295404839
0.01726343892642923       -1.3719513868185595
0.017448070951339822      -1.3759394748290936
0.01769951356231836       -1.3813749867359162
0.017737649618918994      -1.3821970156193608
0.018049760776545742      -1.3889205241657203
0.018050277723790642      -1.3889316310468596
0.018051093495513704      -1.3889491706666397
0.018339596172576966      -1.3951367679084385
0.01860380322798172       -1.4008276417381906
0.01862987541100658       -1.4013872481575864
0.018650879696064715      -1.4018402123472102
0.018930263503157962      -1.4078416401058853
0.01919326659244347       -1.4135179126040125
0.019230651595309456      -1.4143216210851395
0.01928510009505313       -1.4155022062676388
0.019507506142928177      -1.4202985633520293
0.019627512164246408      -1.4229093968580662
0.019794530875830496      -1.4265312092917486
0.0199782525347173        -1.4305406084549719
0.020089336896200294      -1.4329613173198041
0.020328992905188192      -1.4382169212326605
0.02038414291656987       -1.439424606230164
0.020471391376313486      -1.4413534770406846
0.0206520288570321        -1.4453284934667383
0.020820640325175388      -1.4490839633105126
0.02091991479749422       -1.4512884419039143
0.021026269903566375      -1.4536785948352533
0.021187800737956453      -1.4572922050643133
0.021338577592397545      -1.4607055599665522
0.021433444879614294      -1.4628397767105432
0.021487222618632007      -1.4640661199368046
0.02176475511666287       -1.4704036630686348
0.021818476850494428      -1.4716379792257073
0.02211813277661534       -1.4785757344450892
0.02214973108235685       -1.4793117597765506
0.022471510436568032      -1.4868637571200094
0.022480985314219493      -1.4870874615893346
0.022622852718566344      -1.4904620013172027
