% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 13 2025, 11:07
% Dimension:          1
% Nodes:              1011
% Expressions:        1
% Description:        Line graph
% Arc length (m)          imag(acpr.p_t)
0                         0.4166048199621507
3.1112670898010564E-5     0.41543727079645615
2.4800172149562483E-4     0.407230840894065
3.192057921392738E-4      0.40455201962915416
3.83553277742775E-4       0.4021208937609286
6.07298913380537E-4       0.39364565866944345
8.54885899829818E-4       0.384227857908351
8.966045700455338E-4      0.3826468189223648
9.312130194781242E-4      0.38133035212355393
0.0011933216470562807     0.37133222183118897
0.0014851436192928162     0.3601910927718952
0.0015020791836375808     0.35954584419385094
0.0015197657666602797     0.3588742136954079
0.001800166984191033      0.34817907084829114
0.002078108823792311      0.33760717106239346
0.0020976064508252783     0.33686734207473856
0.002117276603281801      0.3361230499471262
0.0023950459174595234     0.32554670546144826
0.002646048487544149      0.3160457869195761
0.0027174166628442555     0.313353325689739
0.002823165870450055      0.30939706394156535
0.0030397874082289875     0.3012508494758658
0.0031859812590577727     0.29579911586095253
0.003380282628911345      0.28856639973756953
0.0035956685671773014     0.2806279349532514
0.003735817772080083      0.2754279964243434
0.003813202643360148      0.27258328084987815
0.004062859425992001      0.2634439586364155
0.004227130456652458      0.25747713731669186
0.004389901079903918      0.25158973067686297
0.004641058269944768      0.24257684429897464
0.004716942733815836      0.23986531254568583
0.005002573733592936      0.2297403070298998
0.005043673751860125      0.22827783836243687
0.005061010247944857      0.22766694899155906
0.005380465461474814      0.21643712832705203
0.005538329968763592      0.2109526149870531
0.005715736104445111      0.2047906939584321
0.00601564968958233       0.19449697530712148
0.0060510067474154085     0.1932837404752921
0.006134458070667807      0.19045451851800682
0.006386277390385702      0.18188732028096374
0.00651375724041376       0.17760092092389407
0.00665840786192606       0.17272632019562736
0.00679041711041313       0.1683279700365769
0.006930538333466418      0.16363599171218127
0.0070840777425155155     0.1585531459517024
0.007205271971545375      0.15453565328802205
