% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Dec 19 2025, 14:06
% Dimension:          1
% Nodes:              337
% Expressions:        2
% Description:        Line graph
% Arc length (m)          imag(acpr.p_t)           imag(acpr.p_t)
0                         1.0025739348954563       0.6230583240925566
3.1112670898010564E-5     1.0044059402692198       0.6257909275223191
2.4800172149562483E-4     1.0171276640983347       0.644808592038549
3.192057921392738E-4      1.0212888092398194       0.651032894565536
3.83553277742775E-4       1.0250175470433078       0.6566205691134105
6.07298913380537E-4       1.0379979898264857       0.6760605782767619
8.54885899829818E-4       1.0522395603818413       0.6974286667133168
8.966045700455338E-4      1.0546353344642643       0.7010261384883738
9.312130194781242E-4      1.0566043231913602       0.703988502476786
0.0011933216470562807     1.071542286329434        0.7264473827641335
0.0014851436192928162     1.0879477749231194       0.7511509075257526
0.0015020791836375808     1.0889002803158483       0.7525867533184134
0.0015197657666602797     1.0898759129629774       0.7540588485504077
0.001800166984191033      1.1054100834289624       0.7774865876601363
0.002078108823792311      1.1205241802807113       0.8003037429534562
0.0020976064508252783     1.1215839563517032       0.8019054676451746
0.002117276603281801      1.12263302340954         0.8034926959595459
0.0023950459174595234     1.1375519693426406       0.8260560349248969
0.002646048487544149      1.1507109423867017       0.8459677924940961
0.0027174166628442555     1.1544468804381238       0.851627650707061
0.002823165870450055      1.1598227340548373       0.8597728397036335
0.0030397874082289875     1.1709033637434718       0.8765574395295909
0.0031859812590577727     1.1781605000890054       0.8875515230265469
0.003380282628911345      1.1878026701827418       0.9021798586488425
0.0035956685671773014     1.1981251521849954       0.9178388890252427
0.003735817772080083      1.2049110142184967       0.9281311274137652
0.003813202643360148      1.2085337087763954       0.9336227307498336
0.004062859425992001      1.2201690644641765       0.9512948910674741
0.004227130456652458      1.2275738600072192       0.9625226661937965
0.004389901079903918      1.2348770708419852       0.9736187543203695
0.004641058269944768      1.2457620740818782       0.9901281596984657
0.004716942733815836      1.249035033351923        0.9951027171724509
0.005002573733592936      1.2609178865037056       1.0131310681206231
0.005043673751860125      1.2626405052190197       1.0157453269243295
0.005061010247944857      1.2633373871690656       1.0168011005331947
0.005380465461474814      1.2761547848652979       1.036247846345993
0.005538329968763592      1.2821888837134177       1.0453838417492451
0.005715736104445111      1.2889896779153085       1.0556955481099342
0.00601564968958233       1.2999170917052214       1.072227542006281
0.0060510067474154085     1.3012092696845787       1.0741854390043841
0.006134458070667807      1.3041006192135587       1.0785560071647982
0.006386277390385702      1.3128906251870562       1.0918461706493745
0.00651375724041376       1.3171055701657235       1.098200748501739
0.00665840786192606       1.3219271565194521       1.1054817422162595
0.00679041711041313       1.326094840465541        1.1117563726552562
0.006930538333466418      1.3305701427114736       1.1184967060636382
0.0070840777425155155     1.3352035484128462       1.1254520878458147
0.007205271971545375      1.3388892650915156       1.1309948985861464
0.007334087795995731      1.3425883286125038       1.1365374276743796
0.007483375919693211      1.3469230460938326       1.143035737305827
0.007609099512560297      1.350352164282176        1.1481533645682012
0.007778067779169891      1.354988173924035        1.155085970658715
0.008042295460534261      1.3617799921609648       1.165184761681001
0.008071985752134109      1.3625515822438883       1.1663329474703692
0.00809291792729109       1.3630601078924427       1.167085145800719
0.008359191505977474      1.36955843110016         1.1767160536729657
0.008582608763684878      1.3746323929788873       1.1841853740332988
0.008646397259820832      1.3760881366514626       1.1863328996329603
0.008803343082847234      1.379422188759384        1.1912111229530398
0.008927198643729338      1.382077509626344        1.1951005464942133
0.008964836478874243      1.3828256063063797       1.1961859154284933
0.009248826270189948      1.388442751555005        1.2043490492716291
0.009407544453143936      1.3913278680862173       1.208492262345054
0.00957677314719025       1.3943698168382546       1.2128657259029416
0.009850252427413636      1.3988476534326024       1.2192113368115578
0.009904720024190565      1.3997284681580573       1.2204609628661827
