% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Dec 21 2025, 15:36
% Dimension:          1
% Nodes:              1384
% Expressions:        2
% Description:        Line graph
% Arc length (m)          abs(acpr.p_t)            abs(acpr.p_t)
0                         0.6936059719694396       0.9550686080370342
0.0018924589326423102     0.7050224909954332       0.949614520629368
0.0037548770455149982     0.7260930930584975       0.9466259989431323
0.0037849178652846205     0.7264329228664184       0.946577779944244
0.0038154432437289137     0.7269177538832801       0.9465666041849148
0.0056773767979269585     0.756487989918214        0.9458840015423164
0.0075097540910299965     0.7926283785576284       0.9477118813190153
0.007569783433625618      0.7938119670814124       0.9477707780312844
0.007631971453254352      0.7952100731183187       0.9479075765584947
0.009459463664226384      0.8362942607727011       0.951903368251698
0.011342280351420014      0.8818724468676646       0.9582100384614813
0.011349244145104354      0.8820410571286592       0.958233403465358
0.011356472838297244      0.8822233879810876       0.9582643840462499
0.01323902462598231       0.9297082650171409       0.9663345306126722
0.01505258924958569       0.9763156868812751       0.9756913302391256
0.01512880510686028       0.9782745683419288       0.9760849918386642
0.015191990184092466      0.9798795460944486       0.9764398474714242
0.016651939284381176      1.0169700030580433       0.9846445400949184
0.018083982005385996      1.0523243060634169       0.9930469362637367
0.018175073461902072      1.0545732338591896       0.9935819750204604
0.018267940027985582      1.0567784142694223       0.9941334942741393
0.019698207639422968      1.0907489959017136       1.0026349367901908
0.02110113622209947       1.1225123129454062       1.0109504898712474
0.021251520345197478      1.125884967983603        1.0118355794927336
0.023024256760175596      1.1631469963939391       1.0218191579453746
0.023119339113282233      1.1650828099814043       1.0223406417163132
0.024891169794158452      1.1984745445705312       1.031399934622337
0.02498715788136699       1.2002150815012018       1.0318705871800846
0.026758082828141308      1.2294623875562425       1.0396198644143468
0.026854976649451745      1.2309903157897164       1.040023236473408
0.02862499586212415       1.2559230490824744       1.046402163425136
0.028742340607861794      1.2574328916425892       1.0467686644231782
0.03095089628824392       1.2816919257726511       1.0519993609177558
0.031054920679810194      1.2826636028278413       1.0521829008241113
0.03327075492917879       1.2990000896489968       1.0545409585313392
0.03336750075175861       1.2995504924282948       1.0545778277811435
0.035590613570113616      1.3077296909660971       1.053637237518653
