% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 13 2025, 11:08
% Dimension:          1
% Nodes:              1011
% Expressions:        1
% Description:        Line graph
% Arc length (m)          real(acpr.p_t)
0                         0.7967421611939711
3.1112670898010564E-5     0.7983492875339909
2.4800172149562483E-4     0.8095746416608136
3.192057921392738E-4      0.813242015613797
3.83553277742775E-4       0.8165491410457978
6.07298913380537E-4       0.8280716422602171
8.54885899829818E-4       0.8407946148219558
8.966045700455338E-4      0.8429322134251152
9.312130194781242E-4      0.8447006045615519
0.0011933216470562807     0.8581258813462419
0.0014851436192928162     0.8729822085251142
0.0015020791836375808     0.8738433980942637
0.0015197657666602797     0.8747331685276758
0.001800166984191033      0.8889018879253047
0.002078108823792311      0.9028061128998748
0.0020976064508252783     0.9037797598414749
0.002117276603281801      0.9047520985399139
0.0023950459174595234     0.9185739609080183
0.002646048487544149      0.9308907323478806
0.0027174166628442555     0.9343831371845673
0.002823165870450055      0.9394690153364276
0.0030397874082289875     0.9499457372786483
0.0031859812590577727     0.9568932932024563
0.003380282628911345      0.9661136218314922
0.0035956685671773014     0.9761292486824866
0.003735817772080083      0.98269938493592
0.003813202643360148      0.9862581930878923
0.004062859425992001      0.9976862480385629
0.004227130456652458      1.0050733313415154
0.004389901079903918      1.0123582143594878
0.004641058269944768      1.0233964035391705
0.004716942733815836      1.0267152838986948
0.005002573733592936      1.0389773591714282
0.005043673751860125      1.0407508298490882
0.005061010247944857      1.041482855925219
0.005380465461474814      1.054938767105265
0.005538329968763592      1.061423560716961
0.005715736104445111      1.0687159297118725
0.00601564968958233       1.0807311570868037
0.0060510067474154085     1.0821486066794477
0.006134458070667807      1.0854070780544691
0.006386277390385702      1.0952870347402326
0.00651375724041376       1.100160331727981
0.00665840786192606       1.105711954964376
0.00679041711041313       1.1106515531034924
0.006930538333466418      1.1159319264647038
0.0070840777425155155     1.1215704104228517
0.007205271971545375      1.12603502390214
0.007334087795995731      1.1306638924865573
0.007483375919693211      1.1360618129298095
0.007609099512560297      1.1404926025886426
0.007778067779169891      1.1464560466816356
0.008042295460534261      1.1555593184090756
0.008071985752134109      1.15658757004459
0.00809291792729109       1.1572950099328079
0.008359191505977474      1.1663033702541734
0.008582608763684878      1.1736751125203453
0.008646397259820832      1.1757820372533447
0.008803343082847234      1.1808547648341317
0.008927198643729338      1.1848712827616819
0.008964836478874243      1.1860658440461067
0.009248826270189948      1.195054085017051
0.009407544453143936      1.1999700464466168
0.00957677314719025       1.20518556450727
0.009850252427413636      1.2134288777783298
0.009904720024190565      1.2150622969003948
0.010171311003634734      1.2229205475817004
0.010176515832218909      1.2230730486682853
0.010220454334144237      1.2243418598797522
0.010448311640247253      1.2309344231809127
0.010475302961479215      1.231703943411592
0.010557378717588786      1.2340227974554772
0.010707275737154163      1.2382753531714927
0.01076576434387911       1.2399145245978318
0.010939248512829111      1.2447396782239752
0.011088251023610895      1.2488326066939246
0.011185679807343078      1.2514830166957724
0.011361054173527375      1.2562185083971524
0.011458076495748142      1.2588074161416962
0.01157891875864469       1.26202036125075
0.011713918623509366      1.265558681455159
0.011766459973425396      1.2669360433010544
0.011910728448903632      1.2706634640873715
0.01195400118820611       1.2717849307091555
0.011975642711473378      1.2723366354416026
0.012194525447105697      1.2779194754477459
0.01232697309658854       1.2812406288053828
0.012435049706005279      1.2839520995315459
0.012669649066818313      1.289736745502639
0.012675573964904874      1.289883247039454
0.012678303481703707      1.2899495621818124
0.012913511358977302      1.2956673775480447
0.01303142868395896       1.2984846054202595
0.013159285146039541      1.3015378899752217
0.013389687504502527      1.306954586614454
0.013405058933101777      1.3073157958286554
0.013438644683156427      1.3080925637995657
0.013641639011369402      1.3127975508028773
0.013741157480231109      1.3150691316163443
0.013876763882218146      1.318159698186077
0.014026428400652678      1.32153262045334
0.014114734939157318      1.3235074239358364
0.014346635494479648      1.328648200810027
0.014422850647226357      1.3303220886372416
0.014666842588306618      1.3356332169352196
0.014730966355295395      1.3370158715243452
0.014987049682133581      1.342487668828918
0.015039082063364441      1.3435887725971478
0.01521794050309419       1.3473616940028597
0.015362347776240334      1.3503708403195527
0.015423208974916218      1.3516378209177344
0.01546784008923574       1.352557738339606
0.01567848437836209       1.3568975479108003
0.01594431107349698       1.3623054137226172
0.015947653592791735      1.3623731650173234
0.015951993658453092      1.3624600121461183
0.016216822807221372      1.3677669009609943
0.016335090268250058      1.370115781804647
0.016440015868367647      1.3721908759147765
0.016611375915574687      1.3755611312248175
0.01666320892951392       1.376576215778745
0.016881106942819808      1.3808196958052035
0.0168864019906602        1.3809228396924997
0.016887661562899316      1.3809472378356078
0.017203461573231115      1.3870296035367473
0.017251963075751334      1.3879598496736492
0.017476083906524185      1.3922208124552458
0.017507043597783958      1.3928097201331873
0.01774870623981725       1.3973660074788523
0.017762124119816577      1.3976191193145031
0.01795723737146342       1.4012669437459913
0.018017204641849204      1.4023875335726481
0.018025270503080813      1.402537167036201
0.01829118914328842       1.4074705046736617
0.018558483539319905      1.4124100578565126
0.01856407151661586       1.4125131617878772
0.018571451542945008      1.412649000745382
0.018792919805271854      1.4167071337569201
0.018960610212658092      1.4197723527314956
0.019021768093927853      1.420888220640481
0.01909844991489279       1.4222860298523265
0.019319529854318163      1.4263012984796113
0.01960264994487968       1.4314453350800167
0.0196154592864967        1.4316769494223045
0.01963206360299284       1.4319779147248237
0.019875957723759736      1.4363852060798714
0.020064108986234855      1.4397934840325761
0.020136456161022775      1.4410961671128755
0.020185275651162533      1.4419767757729494
