% Model:              Paper2_optimized_designs.mph
% Version:            COMSOL 6.3.0.420
% Date:               Dec 19 2025, 14:07
% Dimension:          1
% Nodes:              337
% Expressions:        2
% Description:        Line graph
% Arc length (m)          real(acpr.p_t)           real(acpr.p_t)
0                         1.6309423790781348       1.285541569745061
3.1112670898010564E-5     1.633922603377584        1.2911796860605824
2.4800172149562483E-4     1.6546177339865755       1.3304183854723681
3.192057921392738E-4      1.6613868985544238       1.3432608423206334
3.83553277742775E-4       1.667452642229292        1.3547897596494578
6.07298913380537E-4       1.688568645246557        1.3948998728272421
8.54885899829818E-4       1.7117361944465894       1.4389881465714183
8.966045700455338E-4      1.7156335324340648       1.4464107253798402
9.312130194781242E-4      1.7188365951181974       1.4525229012461462
0.0011933216470562807     1.7431370045852876       1.4988617801325859
0.0014851436192928162     1.7698247187434613       1.5498319811110264
0.0015020791836375808     1.7713742118603593       1.5527945279270041
0.0015197657666602797     1.772961327359009        1.5558318673576406
0.001800166984191033      1.7982316202072273       1.6041697698398227
0.002078108823792311      1.8228185561119385       1.6512478691102432
0.0020976064508252783     1.8245425523643382       1.654552669952909
0.002117276603281801      1.8262491276737187       1.6578275607615223
0.0023950459174595234     1.850518600803405        1.7043819667787328
0.002646048487544149      1.8719250288539646       1.7454654273346484
0.0027174166628442555     1.8780024855697228       1.757143279520038
0.002823165870450055      1.886747683486855        1.773949056192349
0.0030397874082289875     1.9047731556411356       1.8085803258078053
0.0031859812590577727     1.9165787400521381       1.8312641594234937
0.003380282628911345      1.9322641905558902       1.861446459878322
0.0035956685671773014     1.9490563420060485       1.8937553685508473
0.003735817772080083      1.9600952784712864       1.9149911016797512
0.003813202643360148      1.965988515743158        1.9263217975393216
0.004062859425992001      1.984916391310588        1.9627843498190203
0.004227130456652458      1.9969621810914853       1.985950353871143
0.004389901079903918      2.0088427174182195       2.008844651237348
0.004641058269944768      2.026549953226415        2.0429081186281834
0.004716942733815836      2.0318742567941803       2.0531720059347336
0.005002573733592936      2.051204750152384        2.090369477955644
0.005043673751860125      2.054007029134524        2.0957634165907324
0.005061010247944857      2.0551406854824354       2.0979417694189575
0.005380465461474814      2.0759914540538964       2.138065782166926
0.005538329968763592      2.0858074558353223       2.156915866368892
0.005715736104445111      2.09687068328339         2.1781917673063793
0.00601564968958233       2.1146469106750887       2.212301841055058
0.0060510067474154085     2.116748967944376        2.216341523831155
0.006134458070667807      2.1214524858749844       2.225359214208375
0.006386277390385702      2.1357516739503475       2.25278049559967
0.00651375724041376       2.142608357684009        2.265891746459361
0.00665840786192606       2.1504518984394356       2.280914449354312
0.00679041711041313       2.157231700041787        2.293860746598421
0.006930538333466418      2.1645119213182715       2.307767917813951
0.0070840777425155155     2.1720493382157287       2.3221187932756635
0.007205271971545375      2.178045097051354        2.3335551441667364
0.007334087795995731      2.1840625679323526       2.3449909139316647
0.007483375919693211      2.1911140922095793       2.358398723186869
0.007609099512560297      2.196692428112377        2.368957803019121
0.007778067779169891      2.204234080983605        2.3832616859324958
0.008042295460534261      2.2152827067338445       2.4040982836655007
0.008071985752134109      2.216537894926671        2.4064673083698467
0.00809291792729109       2.217365141678465        2.4080193014738076
0.008359191505977474      2.2279363228587523       2.427890526919981
0.008582608763684878      2.2361904168161284       2.4433017997489515
0.008646397259820832      2.23855855543019         2.447732738753703
0.008803343082847234      2.2439822420906967       2.4577978620687553
0.008927198643729338      2.248301799163988        2.4658228180819917
0.008964836478874243      2.2495187693411003       2.4680622342483023
